pharmacy_id,address,telephone,name,specialization
1,1 Pharmacy St,123-456-7801,Pharmacy 1,General
2,2 Pharmacy St,123-456-7802,Pharmacy 2,Natural Remedies
3,3 Pharmacy St,123-456-7803,Pharmacy 3,Childcare
4,4 Pharmacy St,123-456-7804,Pharmacy 4,Prescription Meds
5,5 Pharmacy St,123-456-7805,Pharmacy 5,Vitamins & Supplements
6,6 Pharmacy St,123-456-7806,Pharmacy 6,Orthopedic
7,7 Pharmacy St,123-456-7807,Pharmacy 7,Homeopathic
8,8 Pharmacy St,123-456-7808,Pharmacy 8,Senior Care
9,9 Pharmacy St,123-456-7809,Pharmacy 9,Cosmetics
10,10 Pharmacy St,123-456-7810,Pharmacy 10,General
